"","diff.fit","low","high","study","treat","bilat_0","age","se"
"12870",-0.0331763210283444,-0.225721262659466,0.176652931728211,"McCormick","Antibiotics","Bilateral",7.52,-0.225721262659466
"12872",-0.0831965007411787,-0.313150073024234,0.140504678752654,"McCormick","Antibiotics","Unilateral",7.54,-0.313150073024234
"12874",-0.0325313312264279,-0.225487362516088,0.177640287799994,"McCormick","Antibiotics","Bilateral",7.56,-0.225487362516088
"12876",-0.0837869065732344,-0.315625257121592,0.14144025678124,"McCormick","Antibiotics","Unilateral",7.58,-0.315625257121592
"12878",-0.0318932563093494,-0.225259865885292,0.17861250248663,"McCormick","Antibiotics","Bilateral",7.6,-0.225259865885292
"12880",-0.0843774129521486,-0.318097037827232,0.142365382019413,"McCormick","Antibiotics","Unilateral",7.62,-0.318097037827232
"12882",-0.0312620609692943,-0.225038788780097,0.179569652877564,"McCormick","Antibiotics","Bilateral",7.64,-0.225038788780097
"12884",-0.0849676746543521,-0.320563893126463,0.143279471011823,"McCormick","Antibiotics","Unilateral",7.66,-0.320563893126463
"12886",-0.0306377094186697,-0.224824144554469,0.180511817266193,"McCormick","Antibiotics","Bilateral",7.68,-0.224824144554469
"12888",-0.0855573399228522,-0.323024310880522,0.144181966656132,"McCormick","Antibiotics","Unilateral",7.7,-0.323024310880522
"12890",-0.0300201654057769,-0.224615943949062,0.18143907510868,"McCormick","Antibiotics","Bilateral",7.72,-0.224615943949062
"12892",-0.0861460748607986,-0.325476890487476,0.145072397082615,"McCormick","Antibiotics","Unilateral",7.74,-0.325476890487476
"12894",-0.0294093922313446,-0.224414195131548,0.182351506978089,"McCormick","Antibiotics","Bilateral",7.76,-0.224414195131548
"12896",-0.0867335588879624,-0.327920250203978,0.145950300667487,"McCormick","Antibiotics","Unilateral",7.78,-0.327920250203978
"12898",-0.0288053527645612,-0.224218903738261,0.183249194515904,"McCormick","Antibiotics","Bilateral",7.8,-0.224218903738261
"12900",-0.0873194642564321,-0.330353045230669,0.146815266245033,"McCormick","Antibiotics","Unilateral",7.82,-0.330353045230669
"12902",-0.0282080094582135,-0.224030072924906,0.184132220393837,"McCormick","Antibiotics","Bilateral",7.84,-0.224030072924906
"12904",-0.0879034848115862,-0.332774079668178,0.147666991987113,"McCormick","Antibiotics","Unilateral",7.86,-0.332774079668178
"12906",-0.0276173243646616,-0.223847703411038,0.185000668270833,"McCormick","Antibiotics","Bilateral",7.88,-0.223847703411038
"12908",-0.0884853309249481,-0.33518220396697,0.148505203100873,"McCormick","Antibiotics","Unilateral",7.9,-0.33518220396697
"12910",-0.0270332591513464,-0.223671793524817,0.185854622746882,"McCormick","Antibiotics","Bilateral",7.92,-0.223671793524817
